Jira Key,Issue Id,Summary,Description,Issue Type,Priority,Labels,Parent,Sprint,Phase,Blocked By 1,Blocked By 2,Blocked By 3,Relates 1,Relates 2,Relates 3,Blocks Existing,Assignee
SALIN-233,T18,"[T18] Rebuild the restoration board with Baybayin tiles, Submit, Undo, and Hear","ChallengeModeUI is runtime-built Latin word buttons validated per tap. Build a board with Baybayin glyph tiles (glyphOutlineSprite) dragged into word slots, Submit validates all, Undo returns the last tile, wrong tiles shake back, Hear Word/Sentence. Acceptance: Level 1 shows INA and AMA as empty Baybayin slots; wrong tile shakes; Undo works; Submit locks correct slots. Covers UF-24, UF-26, BTN-SUBMIT, BTN-UNDO, BTN-HEAR, Core Mechanics 7.0. Ruling R7 (2026-09-11): paragraph units (Levels 5, 10, 15) use word tiles; word-level units use Baybayin syllable tiles; author each paragraph checkpoint as its own ChallengeUnit so checkpointOnSuccess locks earlier lines.

Audit id: T18. Re-verified 2026-09-11 against dev @ cb41a966 (see docs/audit/BACKLOG.md). Duplicate pass: OVL — existing Jira: SALIN-181 (Done, challenge engine), SALIN-209 (Done, glyph outlines).",Story,Highest,ui demo-required audit-2026-09 revised-backlog phase-b,SALIN-127,,B - Core loop,T14,,,SALIN-181,SALIN-209,,,Jeff Andre Millan
SALIN-234,T19,[T19] Complete the Level Results screen,"VictoryScreenUI shows stars and a text summary. Add trace/combat/context accuracy, best combo, hearts, hints, improvement tip, Claim Memory, Replay Level, View Details; use LevelResults stars on the revised path. Acceptance: finishing Level 1 with one heart lost and one hint shows 2 stars, each metric, Best combo, Hints 1, a tip and Claim Memory; Replay keeps prior stars. Covers UF-28, BTN-CLAIM, BTN-REPLAY, Core Mechanics 8.0.

Audit id: T19. Re-verified 2026-09-11 against dev @ cb41a966 (see docs/audit/BACKLOG.md). Duplicate pass: OVL — existing Jira: SALIN-183 (IP, metrics/Results parent), SALIN-202 (Done, L1 Results slice).",Story,High,ui demo-required audit-2026-09 revised-backlog phase-b,SALIN-127,,B - Core loop,T07,,,SALIN-183,,,,Jeff Andre Millan
SALIN-235,T20,[T20] Add the Ready for Defense screen and a practice checkpoint,"Combat starts immediately after learning. Add ReadyForDefenseScreenUI (enemy types, clue forms, hearts, Defend the Scroll) and persist practice-complete so Back to Map keeps practice. Acceptance: screen appears after practice; leaving and re-entering skips story and practice. Covers UF-16, BTN-READY, Global Safe Saving.

Audit id: T20. Re-verified 2026-09-11 against dev @ cb41a966 (see docs/audit/BACKLOG.md). Duplicate pass: NEW — existing Jira: none. Ruling OQ-3 (2026-09-12): the practice checkpoint follows the same rule as T58 (saved after every completed unit).",Story,Medium,ui flow demo-required audit-2026-09 revised-backlog phase-b,SALIN-127,,B - Core loop,T08,T13,,,,,,Jeff Andre Millan
SALIN-236,T21,[T21] Rebuild the Level Failed screen with checkpoint recovery,"Defeat shows hearts and a whole-level Retry that replays every card. Add cause of failure, missed symbols, Retry Checkpoint (wave or restoration), Review Symbols, Restart Level, Exit to Map; promote the paused-run snapshot to a checkpoint. Acceptance: losing on wave 3 names the breached symbols; Retry Checkpoint restarts wave 3 with full hearts and no cards; Review Symbols opens practice. Covers UF-31, UF-32, BTN-RESTART-WAVE, Global Three Hearts.

Audit id: T21. Re-verified 2026-09-11 against dev @ cb41a966 (see docs/audit/BACKLOG.md). Duplicate pass: OVL — existing Jira: SALIN-135 (Done, clean retry), SALIN-181 (checkpoint reset). Ruling OQ-3 (2026-09-12): Retry Checkpoint returns to the last cleared wave or the last completed syllable placement.",Story,High,ui flow demo-required audit-2026-09 revised-backlog phase-b,SALIN-127,,B - Core loop,T20,,,SALIN-135,,,,Jeff Andre Millan
SALIN-237,T22,[T22] Pause menu: Restart Wave and objective quick view,"Restart reloads the whole level; no objective/words/symbols shown. Implement wave-level restart via the checkpoint and add the quick view. Acceptance: Restart Wave on wave 2 restarts wave 2 only; pause lists target words and symbols in play. Covers UF-22, BTN-RESTART-WAVE.

Audit id: T22. Re-verified 2026-09-11 against dev @ cb41a966 (see docs/audit/BACKLOG.md). Duplicate pass: OVL — existing Jira: SALIN-141 (Done, pause/restart/leave).",Story,Medium,ui audit-2026-09 revised-backlog phase-b,SALIN-127,,B - Core loop,T20,,,SALIN-141,,,,Jeff Andre Millan
SALIN-238,T23,"[T23] Heart-loss beat: freeze, show the missed clue, queue it for review","A breach only decrements hearts. Add a brief freeze, show the missed glyph and syllable, re-queue that symbol as a later clue in the same wave. Acceptance: on breach the field freezes about a second, missed clue shown, symbol reappears later. Covers UF-21, Global Three Hearts.

Audit id: T23. Re-verified 2026-09-11 against dev @ cb41a966 (see docs/audit/BACKLOG.md). Duplicate pass: NEW — existing Jira: none.",Story,Medium,combat audit-2026-09 revised-backlog phase-b,SALIN-127,,B - Core loop,,,,,,,,Jon Wayne Cabusbusan
SALIN-239,T25,[T25] Save-status indicator at safe checkpoints,"No visible save feedback. Add SaveStatusIndicator driven by CampaignSaveService.TryCommit results (text plus icon). Acceptance: level completion shows Saving then Saved; forced I/O failure shows Save failed retrying. Covers Global Safe Saving.

Audit id: T25. Re-verified 2026-09-11 against dev @ cb41a966 (see docs/audit/BACKLOG.md). Duplicate pass: NEW — existing Jira: none (SALIN-140 is the write, not the indicator).",Task,Low,ui save audit-2026-09 revised-backlog phase-b,SALIN-127,,B - Core loop,T07,,,,,,,Jeff Andre Millan
SALIN-240,T26,[T26] Memory Card screen and Memory Archive,"unlockedMemoryIds are stored but there is no card or archive UI. Add memory card data, MemoryCardUI (front/back, words, Baybayin, lore, number), MemoryArchive scene grouped by era with filters and locked silhouettes, menu entry. Acceptance: claiming Level 1 shows the INA/AMA card; archive shows it unlocked and Levels 2-15 as silhouettes with Earn in Level n. Covers UF-29, UF-39, BTN-ARCHIVE. Ruling 2026-09-11: memory card art and cutscene panel art are in scope; the team will produce them.

Audit id: T26. Re-verified 2026-09-11 against dev @ cb41a966 (see docs/audit/BACKLOG.md). Duplicate pass: OVL — existing Jira: SALIN-160 (To Do, review characters/words/memories).",Story,Medium,ui demo-required audit-2026-09 revised-backlog phase-b,SALIN-131,,B - Core loop,T19,,,SALIN-160,,,,Jeff Andre Millan
SALIN-242,T27,[T27] Wire the prologue cinematic with Skip and a viewed flag,"Level1_Opening.asset exists but LevelCutsceneMapping is empty and the skip button is force-hidden (CutscenePlayer.cs:75-76,725-729). Map it before Level 1, restore Skip, persist a prologue-viewed flag, Filipino copy. Acceptance: fresh journey plays the prologue with Skip; second launch skips it; Reset Journey brings it back. Covers UF-04, UF-05, BTN-SKIP.

Audit id: T27. Re-verified 2026-09-11 against dev @ cb41a966 (see docs/audit/BACKLOG.md). Duplicate pass: OVL — existing Jira: SALIN-102 (Done, cutscene content), SALIN-114 (Done, tap-anywhere).",Story,High,content demo-required audit-2026-09 revised-backlog phase-c,SALIN-127,,C - Level content,T08,,,SALIN-102,,,,Jon Wayne Cabusbusan
SALIN-243,T28,[T28] Level Preview screen,"Tapping a level loads gameplay directly. Add LevelPreviewPanel with title, story summary, target words (tap to hear), new symbols, best stars, Enter Memory; route Next Level through it. Acceptance: tapping Level 2 shows Mga Mata ng Bata, BATA/MATA, BA/TA, best stars; Enter Memory starts the level. Covers UF-10, BTN-NEXT-LEVEL, Core Mechanics 1.0.

Audit id: T28. Re-verified 2026-09-11 against dev @ cb41a966 (see docs/audit/BACKLOG.md). Duplicate pass: OVL — existing Jira: SALIN-138 (Done, in-level intro preview).",Story,High,ui demo-required audit-2026-09 revised-backlog phase-c,SALIN-127,,C - Level content,T06,,,SALIN-138,,,,Jon Wayne Cabusbusan
SALIN-244,T29,[T29] Mission Objective card,"No objective screen. Add MissionObjectiveCard after the story with story goal, language goal, combat goal, hearts, final restoration condition; Study Words continues. Acceptance: Level 1 card reads Restore INA and AMA with final syllable MA. Covers UF-12, Completion Rules Story viewed.

Audit id: T29. Re-verified 2026-09-11 against dev @ cb41a966 (see docs/audit/BACKLOG.md). Duplicate pass: OVL — existing Jira: SALIN-138 (Done).",Story,Medium,ui demo-required audit-2026-09 revised-backlog phase-c,SALIN-127,,C - Level content,T28,,,SALIN-138,,,,Jon Wayne Cabusbusan
SALIN-245,T30,"[T30] Focus-word preview: images, tap-to-hear, Baybayin slots, inspection gating","Preview is one static text block. Add per-word image slot, meaning, syllable buttons that speak, empty Baybayin slots, Continue disabled until both words tapped. Acceptance: Level 1 shows two word cards meeting UF-13. Covers UF-13, BTN-HEAR, Core Mechanics 3.0.

Audit id: T30. Re-verified 2026-09-11 against dev @ cb41a966 (see docs/audit/BACKLOG.md). Duplicate pass: OVL — existing Jira: SALIN-138 (Done: 'both words and their decompositions are readable').",Story,Medium,ui demo-required audit-2026-09 revised-backlog phase-c,SALIN-127,,C - Level content,T09,,,SALIN-138,,,,Chad Denard Andrada
SALIN-246,T31,[T31] Stroke-order animation on the symbol lesson,"Cards are static. Animate each glyph stroke by stroke from Resources/Templates data with Replay Stroke and Replay Sound. Acceptance: each Level 1 card animates and both replay buttons work. Covers UF-14, Core Mechanics 4.0.

Audit id: T31. Re-verified 2026-09-11 against dev @ cb41a966 (see docs/audit/BACKLOG.md). Duplicate pass: NEW — existing Jira: none (SALIN-209 Done supplies the outline art).",Story,Medium,ui demo-required audit-2026-09 revised-backlog phase-c,SALIN-131,,C - Level content,T12,,,SALIN-209,,,,Chad Denard Andrada
SALIN-247,T35,[T35] Redesign Level 5 and Level 10 combat per the Q5 ruling,"Both are legacy boss fights with no waves; team ruled to follow the workbook: mixed armored waves alternating with paragraph blanks, no boss; El Inquisidor and Superintendent retired. Update Level5/10_Config waves, bossConfig, allowedCharacters. Acceptance: Level 5 plays mixed waves with a two-hit enemy and (if ruled) a boss phase; every glyph asked is in the Ugat pool. Covers Level Flow L5/L10, Completion Rules Combat wave, UF-17. Also remove El Inquisidor and Superintendent from AlmanacEnemyRegistry_Default and BossDiscovery flows. Depends on T66 for alternating wave/paragraph segments.

Audit id: T35. Re-verified 2026-09-11 against dev @ cb41a966 (see docs/audit/BACKLOG.md). Duplicate pass: OVL — existing Jira: SALIN-147, SALIN-152 (three-phase Paglimot at L5/L10), SALIN-184 (IP), SALIN-169 (Done). Ruling OQ-2 (2026-09-12): no boss at Levels 5/10; SALIN-184 rescoped to Level 15 only; SALIN-147/152 AC to be amended to waves + paragraph.",Story,High,content demo-required audit-2026-09 revised-backlog phase-c,SALIN-126,,C - Level content,T01,T04,T66,SALIN-184,SALIN-147,SALIN-152,,Ian Clyde Tejada
SALIN-248,T36,[T36] Ugnayan slice: Author Ugnayan (Levels 6-10) narrative assets,"No intro/outro dialogue, per-word dialogue, memory cutscene or rewardIds for Era 2. Generate Dialogue_Ugnayan0N_* and Cutscene_Ugnayan0N_Memory from docs/content/ugnayan-levels-6-10-narrative.md, wire into Level6-10_Config and Era_02. Acceptance: Level 6 opens with dialogue, each focus word has an explanation, completion plays a memory and awards memory.ugnayan.01. Covers UF-11, UF-27, Level Flow L6-L10.

Audit id: T36. Re-verified 2026-09-11 against dev @ cb41a966 (see docs/audit/BACKLOG.md). Duplicate pass: OVL — existing Jira: SALIN-173 (IP parent: 'later eras require additional slices'), SALIN-205 (Ugat slice pattern).",Story,Medium,content language demo-required audit-2026-09 revised-backlog phase-c,SALIN-129,,C - Level content,T01,T11,,SALIN-173,,,,Ian Clyde Tejada
SALIN-249,T37,"[T37] Ugnayan slice: Author challenge sequences for Levels 6, 7, 8, 10","These levels have no challengeSequence. Create Challenge_Ugnayan06/07/08/10_Context.asset matching each spec row (L6 feeling vs action, L7 drag KASAMA to the group, L8 cause/result blanks, L10 per Q4). Covers Level Flow L6/L7/L8/L10, UF-24.

Audit id: T37. Re-verified 2026-09-11 against dev @ cb41a966 (see docs/audit/BACKLOG.md). Duplicate pass: OVL — existing Jira: SALIN-172 (IP parent), SALIN-148–152 (IP stories).",Story,Medium,content demo-required audit-2026-09 revised-backlog phase-c,SALIN-129,,C - Level content,T01,T11,T66,SALIN-172,SALIN-152,,,Ian Clyde Tejada
SALIN-250,T38,"[T38] Author Level 13 (SANGA, HARAYA) with a context-selected RA","Level 13 has no focus words, pool or requirements because CampaignLevelDataTool cannot select value.ra. Add per-syllable spoken-value selection and author Level13_Config. Acceptance: validator clean for Level 13; preview shows HARAYA as ha·ra·ya. Covers Level Flow L13, Character Mastery DA/RA.

Audit id: T38. Re-verified 2026-09-11 against dev @ cb41a966 (see docs/audit/BACKLOG.md). Duplicate pass: OVL — existing Jira: SALIN-155 (IP, L13 story; AC assumes DA/RA share one glyph). Ruling OQ-6 (2026-09-12): DA and RA are separate characters; SALIN-155 AC to be amended.",Story,Medium,content language demo-required audit-2026-09 revised-backlog phase-c,SALIN-130,,C - Level content,T09,,,SALIN-155,,,,Chad Denard Andrada
