"Issue Id","Summary","Description","Issue Type","Priority","Labels","Phase","Blocked By 1","Blocked By 2","Blocked By 3"
"T11","T11 Plan ContextChallenge and MemoryReward on every level and refuse completion when content is missing","LevelPhasePlan skips the challenge when challengeSequence is null and the memory when rewardIds is empty, so Levels 6/7/8/10/13 complete on wave clear alone. Always plan both phases; missing content shows a panel and blocks unlock; the validator change is deferred to the strict-mode switch in T03 (plan review R2) so boot is not re-blocked before Levels 6-15 are authored. Acceptance: clearing Level 2 with its challengeSequence removed shows content missing and Level 3 stays locked. Covers Core Mechanics Victory, UF-23, UF-33, Global Locked Content.","Story","Highest","audit flow demo-required","B - Core loop","T07","",""
"T12","T12 Make learning cards show only the level's new symbols","Every level's learningRequirements lists the whole cumulative pool as Instruction (Level 15 = 17 cards; retry replays all). Author Instruction only for symbols whose firstIntroductionLevelId is this level; review symbols become Practice. Acceptance: Level 2 shows BA and TA cards only; Level 3 shows none. Covers UF-14, Completion Rules Symbols practiced. Plan review R3: keep review symbols in learningRequirements as Practice kind so the list stays non-empty (validator rejects an empty list) while SymbolLearningCardController presents Instruction cards only.","Task","High","audit data demo-required","B - Core loop","","",""
"T13","T13 Build the Required Practice phase (in-level guided tracing)","RequiredPractice is a stub (LevelFlowController.cs:259-262). Build ExecuteRequiredPractice + RequiredPracticeController reusing Level1TutorialGuideUI / ChallengeSession GuidedTracing; per-level accuracy threshold; Check, Reset, Show Guide, attempt counter; no heart loss; record Form evidence. Acceptance: Level 1 requires I, NA, A, MA to pass before combat; weak trace highlights missed section and retries; retry after defeat skips passed symbols. Covers UF-15, BTN-CHECK, BTN-RESET, Core Mechanics 5.0, Completion Rules Symbols practiced.","Story","Highest","audit flow demo-required","B - Core loop","T07","",""
"T14","T14 Add the final-syllable trace-and-place step to restoration","finalRestorationValue is authored but never read at runtime. Add a trailing unit to the context challenge that requires tracing the level's final syllable into its word with a focus moment; write the finalSyllableRestored flag. Acceptance: Level 1 shows AMA with last slot empty; tracing NA is rejected, MA accepted, memory plays, flag true; step cannot be skipped. Covers Global Final Syllable Rule, Completion Rules Last syllable, UF-27, UF-37, BTN-FINAL.","Story","Highest","audit flow demo-required","B - Core loop","T01","T08","T13"
"T15","T15 Set per-level combat mode and clue channels","Reframed by ruling Q15 (2026-09-11): the combat design only requires defeating the enemy by tracing the correct symbol, which the legacy path already does. Decide per level whether active-clue mode is on and author clueChannels as the difficulty ladder (Roman+outline, image+sound, audio-only, incomplete word); verify ActiveCluePresenter renders each channel. Acceptance: each level plays in its chosen mode; audio-only clues always have a replay button and a Latin fallback. Covers Core Mechanics Level Difficulty Pattern, UF-17, UF-18.","Story","High","audit combat demo-required","B - Core loop","T04","",""
"T16","T16 Replace the free hint with the spec's hint modal and penalties","ChallengeSession.RequestHint reveals the exact answer with no cost, confirmation, limit or exhausted state. Build a hint modal with types (meaning, replay, first symbol, slot glow), cost shown before use, confirm/cancel, penalty recorded in LevelResults, No Hints Left with review routing. Acceptance: modal appears with costs; cancel is a no-op; results show the penalty; exhausted state offers review. Covers UF-25, BTN-HINT, Global Hints.","Story","High","audit ui demo-required","B - Core loop","T10","",""
"T17","T17 Add the Wave Cleared screen","Flow jumps from last enemy to challenge. Add WaveClearedScreenUI with banner, hearts remaining, combat accuracy and Restore the Memory button; LevelFlowController awaits it before ContextChallenge. Acceptance: Level 1 wave 5 clear shows the banner and nothing advances until the button is tapped. Covers UF-23, Core Mechanics Victory.","Story","High","audit ui demo-required","B - Core loop","T11","",""
"T18","T18 Rebuild the restoration board with Baybayin tiles, Submit, Undo, and Hear","ChallengeModeUI is runtime-built Latin word buttons validated per tap. Build a board with Baybayin glyph tiles (glyphOutlineSprite) dragged into word slots, Submit validates all, Undo returns the last tile, wrong tiles shake back, Hear Word/Sentence. Acceptance: Level 1 shows INA and AMA as empty Baybayin slots; wrong tile shakes; Undo works; Submit locks correct slots. Covers UF-24, UF-26, BTN-SUBMIT, BTN-UNDO, BTN-HEAR, Core Mechanics 7.0. Ruling R7 (2026-09-11): paragraph units (Levels 5, 10, 15) use word tiles; word-level units use Baybayin syllable tiles; author each paragraph checkpoint as its own ChallengeUnit so checkpointOnSuccess locks earlier lines.","Story","Highest","audit ui demo-required","B - Core loop","T14","",""
"T19","T19 Complete the Level Results screen","VictoryScreenUI shows stars and a text summary. Add trace/combat/context accuracy, best combo, hearts, hints, improvement tip, Claim Memory, Replay Level, View Details; use LevelResults stars on the revised path. Acceptance: finishing Level 1 with one heart lost and one hint shows 2 stars, each metric, Best combo, Hints 1, a tip and Claim Memory; Replay keeps prior stars. Covers UF-28, BTN-CLAIM, BTN-REPLAY, Core Mechanics 8.0.","Story","High","audit ui demo-required","B - Core loop","T07","",""
"T20","T20 Add the Ready for Defense screen and a practice checkpoint","Combat starts immediately after learning. Add ReadyForDefenseScreenUI (enemy types, clue forms, hearts, Defend the Scroll) and persist practice-complete so Back to Map keeps practice. Acceptance: screen appears after practice; leaving and re-entering skips story and practice. Covers UF-16, BTN-READY, Global Safe Saving.","Story","Medium","audit ui flow demo-required","B - Core loop","T08","T13",""
"T21","T21 Rebuild the Level Failed screen with checkpoint recovery","Defeat shows hearts and a whole-level Retry that replays every card. Add cause of failure, missed symbols, Retry Checkpoint (wave or restoration), Review Symbols, Restart Level, Exit to Map; promote the paused-run snapshot to a checkpoint. Acceptance: losing on wave 3 names the breached symbols; Retry Checkpoint restarts wave 3 with full hearts and no cards; Review Symbols opens practice. Covers UF-31, UF-32, BTN-RESTART-WAVE, Global Three Hearts.","Story","High","audit ui flow demo-required","B - Core loop","T20","",""
"T22","T22 Pause menu: Restart Wave and objective quick view","Restart reloads the whole level; no objective/words/symbols shown. Implement wave-level restart via the checkpoint and add the quick view. Acceptance: Restart Wave on wave 2 restarts wave 2 only; pause lists target words and symbols in play. Covers UF-22, BTN-RESTART-WAVE.","Story","Medium","audit ui","B - Core loop","T20","",""
"T23","T23 Heart-loss beat: freeze, show the missed clue, queue it for review","A breach only decrements hearts. Add a brief freeze, show the missed glyph and syllable, re-queue that symbol as a later clue in the same wave. Acceptance: on breach the field freezes about a second, missed clue shown, symbol reappears later. Covers UF-21, Global Three Hearts.","Story","Medium","audit combat","B - Core loop","","",""
"T24","T24 DROPPED: combo rewards","Dropped by ruling Q15 (2026-09-11): combo powers and Focus Mode are cut; see T63. Do not import, or import and close immediately.","Task","Lowest","audit dropped","B - Core loop","","",""
"T25","T25 Save-status indicator at safe checkpoints","No visible save feedback. Add SaveStatusIndicator driven by CampaignSaveService.TryCommit results (text plus icon). Acceptance: level completion shows Saving then Saved; forced I/O failure shows Save failed retrying. Covers Global Safe Saving.","Task","Low","audit ui save","B - Core loop","T07","",""
"T26","T26 Memory Card screen and Memory Archive","unlockedMemoryIds are stored but there is no card or archive UI. Add memory card data, MemoryCardUI (front/back, words, Baybayin, lore, number), MemoryArchive scene grouped by era with filters and locked silhouettes, menu entry. Acceptance: claiming Level 1 shows the INA/AMA card; archive shows it unlocked and Levels 2-15 as silhouettes with Earn in Level n. Covers UF-29, UF-39, BTN-ARCHIVE. Ruling 2026-09-11: memory card art and cutscene panel art are in scope; the team will produce them.","Story","Medium","audit ui demo-required","B - Core loop","T19","",""
"T27","T27 Wire the prologue cinematic with Skip and a viewed flag","Level1_Opening.asset exists but LevelCutsceneMapping is empty and the skip button is force-hidden (CutscenePlayer.cs:75-76,725-729). Map it before Level 1, restore Skip, persist a prologue-viewed flag, Filipino copy. Acceptance: fresh journey plays the prologue with Skip; second launch skips it; Reset Journey brings it back. Covers UF-04, UF-05, BTN-SKIP.","Story","High","audit content demo-required","C - Level content","T08","",""
"T28","T28 Level Preview screen","Tapping a level loads gameplay directly. Add LevelPreviewPanel with title, story summary, target words (tap to hear), new symbols, best stars, Enter Memory; route Next Level through it. Acceptance: tapping Level 2 shows Mga Mata ng Bata, BATA/MATA, BA/TA, best stars; Enter Memory starts the level. Covers UF-10, BTN-NEXT-LEVEL, Core Mechanics 1.0.","Story","High","audit ui demo-required","C - Level content","T06","",""
"T29","T29 Mission Objective card","No objective screen. Add MissionObjectiveCard after the story with story goal, language goal, combat goal, hearts, final restoration condition; Study Words continues. Acceptance: Level 1 card reads Restore INA and AMA with final syllable MA. Covers UF-12, Completion Rules Story viewed.","Story","Medium","audit ui demo-required","C - Level content","T28","",""
"T30","T30 Focus-word preview: images, tap-to-hear, Baybayin slots, inspection gating","Preview is one static text block. Add per-word image slot, meaning, syllable buttons that speak, empty Baybayin slots, Continue disabled until both words tapped. Acceptance: Level 1 shows two word cards meeting UF-13. Covers UF-13, BTN-HEAR, Core Mechanics 3.0.","Story","Medium","audit ui demo-required","C - Level content","T09","",""
"T31","T31 Stroke-order animation on the symbol lesson","Cards are static. Animate each glyph stroke by stroke from Resources/Templates data with Replay Stroke and Replay Sound. Acceptance: each Level 1 card animates and both replay buttons work. Covers UF-14, Core Mechanics 4.0.","Story","Medium","audit ui demo-required","C - Level content","T12","",""
"T32","T32 Record and wire pronunciation clips for the Level 1 symbols","A, E/I, MA, NA have no audio so the demo level is silent. Add Assets/Audio/Pronunciation/{A,EI,MA,NA}.wav and assign to Char_*.asset spokenValues. Acceptance: each Level 1 learning card plays its syllable and shows the replay button. Covers UF-14, UF-17, Character Mastery, Global Audio Clues.","Task","High","audit audio demo-required","C - Level content","T09","",""
"T33","T33 Author prefabs for the 13 corruption enemies","All Level 1 enemy types fall back to a placeholder soldier prefab (QA B-02). Create prefabs for abo-ng-simula, bakod, gapos, hati, iligaw, kadena, mantsa, nawalang-mukha, ngatngat, punit, salungat, takip, walang-awa and register them in EnemyPool; update EnemyPoolRegistrationTests. Acceptance: Level 1 spawns four distinct enemies with no Unknown enemyID warning. Covers UF-17, Level Flow Combat Flow.","Story","High","audit art demo-required","C - Level content","","",""
"T34","T34 Align Ugat Levels 2-5 restoration with the spec","L2 asks for a missing syllable instead of word-to-image; L3/L4 have one blank not two; L5 has two syllable units instead of the paragraph/two-word ruling. Update Challenge_Ugat02-05_Context.asset and authoring tools. Acceptance: L2 asks which word is the child and which the eyes; L3/L4 present two blanks; L5 matches Q4. Covers Level Flow L2-L5 Restoration Flow, Completion Rules Words restored/Context challenge. Author the Level 5 paragraph as one unit per checkpoint line (ruling R7).","Story","High","audit content demo-required","C - Level content","T01","T18",""
"T35","T35 Redesign Level 5 and Level 10 combat per the Q5 ruling","Both are legacy boss fights with no waves; team ruled to follow the workbook: mixed armored waves alternating with paragraph blanks, no boss; El Inquisidor and Superintendent retired. Update Level5/10_Config waves, bossConfig, allowedCharacters. Acceptance: Level 5 plays mixed waves with a two-hit enemy and (if ruled) a boss phase; every glyph asked is in the Ugat pool. Covers Level Flow L5/L10, Completion Rules Combat wave, UF-17. Also remove El Inquisidor and Superintendent from AlmanacEnemyRegistry_Default and BossDiscovery flows. Depends on T66 for alternating wave/paragraph segments.","Story","High","audit content demo-required","C - Level content","T01","T04","T66"
"T36","T36 Author Ugnayan (Levels 6-10) narrative assets","No intro/outro dialogue, per-word dialogue, memory cutscene or rewardIds for Era 2. Generate Dialogue_Ugnayan0N_* and Cutscene_Ugnayan0N_Memory from docs/content/ugnayan-levels-6-10-narrative.md, wire into Level6-10_Config and Era_02. Acceptance: Level 6 opens with dialogue, each focus word has an explanation, completion plays a memory and awards memory.ugnayan.01. Covers UF-11, UF-27, Level Flow L6-L10.","Story","Medium","audit content language demo-required","C - Level content","T01","T11",""
"T37","T37 Author challenge sequences for Levels 6, 7, 8, 10","These levels have no challengeSequence. Create Challenge_Ugnayan06/07/08/10_Context.asset matching each spec row (L6 feeling vs action, L7 drag KASAMA to the group, L8 cause/result blanks, L10 per Q4). Covers Level Flow L6/L7/L8/L10, UF-24.","Story","Medium","audit content demo-required","C - Level content","T01","T11","T66"
"T38","T38 Author Level 13 (SANGA, HARAYA) with a context-selected RA","Level 13 has no focus words, pool or requirements because CampaignLevelDataTool cannot select value.ra. Add per-syllable spoken-value selection and author Level13_Config. Acceptance: validator clean for Level 13; preview shows HARAYA as ha·ra·ya. Covers Level Flow L13, Character Mastery DA/RA.","Story","Medium","audit content language demo-required","C - Level content","T09","",""
"T39","T39 Author Pamana (Levels 11-15) narrative assets","Same gap as T36 for Era 3; copy drafted in docs/content/pamana-levels-11-15-narrative.md. Create Dialogue_Pamana0N_*, Cutscene_Pamana0N_Memory, wire into Level11-15_Config and Era_03. Covers UF-11, UF-27, Level Flow L11-L15.","Story","Medium","audit content language demo-required","C - Level content","T01","",""
"T40","T40 Author Level 13 challenge and the Level 15 final text","Create Challenge_Pamana13_Context.asset and update Challenge_Pamana15_Context.asset per the Q4 ruling. Acceptance: Level 13 restores SANGA and HARAYA in the sentence; Level 15 restores the ruled text ending in MALAYA. Covers Level Flow L13/L15, UF-36, UF-37.","Story","Medium","audit content demo-required","C - Level content","T37","T38","T66"
"T41","T41 Build the Paglimot three-phase boss for Level 15 (waves per phase, paragraph line per phase)","Ruling 2026-09-11: keep the boss and combine it with mixed waves and the era paragraph as one encounter, per Level Flow L15: phase 1 summons Ugat-symbol waves, phase 2 Ugnayan, phase 3 all; after each phase a line of the Level 15 paragraph is restored; the last action traces YA into MALAYA. Per-phase checkpoint: dying in phase 2 restarts phase 2. Replace the legacy Kadiliman config (4 random-glyph phases, only NGA). Acceptance: phase 1 asks only Ugat symbols and ends with a paragraph line; defeat in phase 2 restarts phase 2; final action is YA into MALAYA. Covers UF-35, UF-36, UF-37, Level Flow L15. Depends on T66 for per-phase paragraph segments.","Story","Medium","audit combat boss demo-required","C - Level content","T01","T14","T66"
"T42","T42 Era Completion scene and Next Era Unlock","No era completion screen. Add EraCompletionScreenUI after Results on era-local level 5 with ending line, five memory cards, mastery summary, Enter Next Era; author Era ending lines. Acceptance: finishing Level 5 shows the Ugat ending line, five cards and Enter Next Era opening Era 2. Covers UF-33, UF-34, BTN-NEXT-ERA.","Story","Medium","audit ui content demo-required","C - Level content","T26","T36",""
"T43","T43 Ending cinematic and post-game hub; decide Endless Mode","No ending; completing Level 15 unlocks an inert Endless Mode not in spec. Add ending cutscene, campaign-complete flag, post-game menu (Mastery Challenge, Replay, Archive, Codex, Ending Gallery); spec or remove Endless Mode. Covers UF-38, UF-41.","Story","Low","audit ui content demo-required","C - Level content","T41","",""
"T44","T44 Living Scroll hub","No hub between menu and era map. Add Hub scene with three chambers, progress, locked-era requirements, quick links. Acceptance: Continue opens the hub; locked eras read Complete Ugat Level 5; tapping Ugat opens the map. Covers UF-08, UF-06.","Story","Low","audit ui demo-required","C - Level content","T28","",""
"T45","T45 Main menu completeness: progress display, Exit, archive entry","Menu lacks era/level/completion display, Exit, and Memory Archive; per team ruling Q6 New Journey stays in Settings behind confirmation. Acceptance: menu shows Ugat Level 3 13%; Reset Journey in Settings confirms then plays the prologue; Exit confirms then quits on device; archive opens. Covers UF-03, UF-06, UF-07, BTN-START, BTN-CONTINUE, BTN-EXIT.","Story","Medium","audit ui demo-required","C - Level content","T07","T26","T27"
"T46","T46 Record the remaining pronunciation clips","TA, GA, LA, NGA, PA, YA have no audio; add RA and U per Q2. Acceptance: every learning card in Levels 2-15 has a working replay; DAMA and HARAYA play different middle syllables. Covers Character Mastery, Global Audio Clues.","Task","Medium","audit audio demo-required","C - Level content","T32","",""
"T47","T47 Glyph badge, almanac, and level-number art for remaining symbols and levels","Badges exist for 7 of 17 symbols (none of Level 1's four), Almanac art for 7, numbered scrolls for Levels 1-5 only. Produce and assign the missing art. Acceptance: Level 1 enemies carry framed glyph badges; Era 2 and 3 show numbered scrolls. Covers UF-09, UF-17, UF-40.","Task","Medium","audit art demo-required","C - Level content","","",""
"T48","T48 DROPPED: bow-and-arrow presentation","Dropped by ruling Q15 (2026-09-11): the archer system is withdrawn; slash VFX stays. Do not import, or import and close immediately.","Task","Lowest","audit dropped","C - Level content","T01","",""
"T49","T49 DROPPED: multi-lane battlefield","Dropped by ruling Q15 (2026-09-11): lanes belonged to the withdrawn combat rows. Do not import, or import and close immediately.","Story","Lowest","audit dropped","C - Level content","","",""
"T50","T50 Narration toggle and captions for audio clues","No captions or narration toggle exist. Add settings and a caption label; every pronunciation shows its syllable as text when captions are on; narration off keeps dialogue text. Covers UF-42, Global Audio Clues, Global Hints.","Story","Medium","audit accessibility","D - Polish and accessibility","T32","",""
"T51","T51 Reduced motion / reduced flash, larger hearts, hearts numeral","No motion setting; hearts are colour-only (HeartDisplay.cs:208). Add Reduced Motion (no shake/flash), Large Hearts, and a 3/3 numeral beside the hearts. Covers UF-42, Global Three Hearts, Difficulty Assist.","Story","Medium","audit accessibility","D - Polish and accessibility","","",""
"T52","T52 Text speed, font size, high contrast, Restore Defaults, Apply","Settings has only three audio sliders. Add text speed (drives DialogueController typewriter), font size, high contrast, Restore Defaults and Apply; persist across restart. Covers UF-42, BTN-SETTINGS.","Story","Medium","audit accessibility","D - Polish and accessibility","","",""
"T53","T53 Haptics toggle","Rescoped by ruling Q13: the whole-screen drawing surface is the trace pad, so only a Haptics toggle remains (vibrate on correct trace, persisted). Covers UF-42, UF-15.","Task","Low","audit accessibility","D - Polish and accessibility","","",""
"T54","T54 Finalize English player-facing copy","Rescoped by ruling Q16: English applies to UI copy only; story dialogue, focus-word explanations and cutscenes stay Filipino (ruling 2026-09-11). No language setting. Review and finalize LevelLockNoticePanel, ChallengeModeUI, DrawingFeedbackVocabulary, PauseMenuUI and ResetJourneyFlow strings and remove placeholder comments. Covers UF-09, UF-25, UF-43.","Story","Medium","audit language ui","D - Polish and accessibility","","",""
"T55","T55 Emit the BTN-* tracking events to a local offline event log","None of the 25 tracking events exist; RecognitionLogger covers recognition only. Add UiEventLogger writing a local CSV and hook every button handler. Acceptance: a Level 1 playthrough logs new_journey_started, practice_started, combat_started, restoration_submitted, memory_claimed etc. Covers Button and UI Rules Tracking Event column.","Task","Low","audit analytics","D - Polish and accessibility","","",""
"T56","T56 Character Codex upgrade and fold free practice into it","Almanac shows a grid and description only. Add spoken values, first/later uses, four mastery bars from LearningStateSnapshot, Practice Symbol opening the tracing practice surface (the Tracing Dojo scene becomes reachable only from the Codex; remove the main-menu Tracing Dojo button, ruling 2026-09-11), locked cells naming the era. Enemies tab kept (ruling Q15): list the 18 corrupted enemies keyed to symbols with T62 lore, no legacy colonial enemies. Covers UF-40, BTN-CODEX, BTN-PRACTICE, Character Mastery. Note: depends on T62 (higher id) by design; the Codex cannot list enemy lore before it exists.","Story","Medium","audit ui demo-required","D - Polish and accessibility","T05","T07","T62"
"T57","T57 Difficulty Assist settings","No player-facing assist. Add settings to slow enemies, extend the trace window, show one stroke, control guide opacity; show an assist icon in results details; mandatory objectives stay required. Covers Global Difficulty Assist, UF-32.","Story","Low","audit accessibility","D - Polish and accessibility","T10","",""
"T58","T58 Persist the mid-level checkpoint and implement Save and Exit","Pause-leave keeps an in-memory snapshot only, lost on app kill; no Save and Exit. Persist the checkpoint into the save document and relabel the pause exit. Acceptance: Save and Exit on wave 3, kill the app, relaunch, Continue resumes at wave 3 with the same hearts. Covers UF-43, BTN-EXIT, Global Safe Saving.","Story","Medium","audit save","D - Polish and accessibility","T20","",""
"T59","T59 Update the workbook with the code-is-better findings","AUDIT.md section 5.5 lists seven behaviours (atomic save, flow machine, deterministic clue, hidden recognizer score, mastery model, reset copy, star formula) that should become spec rows. Update the workbook and docs/system/06. Covers Global Safe Saving, Core Mechanics Enemy target/Victory, UF-20, UF-28, UF-40, UF-07.","Task","Low","audit spec","D - Polish and accessibility","T01","",""
"T60","T60 Present levels as Era N Level 1-5 everywhere","Team ruling 2026-09-11: three eras of five levels; never show global 1-15. Update LevelLockNoticePanel copy, VictoryScreenUI last-level check, WaveManager registry lookup, Level*_Config levelName, and content asset naming. Acceptance: every player-facing string reads Ugat Level 2 or Era 1 Level 2; lock notice for Era 2 Level 1 says Finish Ugat Level 5. Covers Game Overview Structure, UF-09, UF-10, UF-28, UF-30.","Story","High","audit ui data demo-required","C - Level content","T06","",""
"T61","T61 Implement the designed abilities for the corrupted enemies","Ruling R6 (2026-09-11): the per-enemy combat-time rule sheet is in AUDIT.md 6.3, each mapped to an existing hook (ActiveCluePresenter, ActiveClueDirector, StrokeCapture, Enemy.TakeDamage, WaveManager, ChallengeSession). Built: Labo, Mantsa, Takip, Iligaw (add zigzag data). Partial: Salungat (add mirrored badge tell), Walang-Awa (add no-mercy tell). To build: Abo ng Simula, Uhaw, Bakod, Kadena, Daan-Lihis, Gapos, Hati, Nawalang Mukha, Ngatngat, Punit, Yapos ng Dilim. Split one sub-task per enemy; Ugat six first (A, E/I, BA, MA, NA, TA). Acceptance per enemy: the effect in the rule sheet is visible in play and covered by CorruptionSignatureAbilityTests.","Story","High","audit combat demo-required","C - Level content","T33","",""
"T62","T62 Enemy era, lore, and lesson data; retire the colonial era enum","EnemyDataSO.era is Spanish/American/Japanese and the Almanac reveals only Spanish-era entries. Replace with Ugat/Ugnayan/Pamana, add corruptedMeaning, trueMeaning, lore and restoredLesson fields, author all 17 assets from the 2026-09-11 design, update GeneralAura, AlmanacController gate, EnemyDiscoveryCopyProvider and AlmanacDetailScroll. Ruling C2/C4: enemies move to the era where the spec teaches their symbol (Ugat adds Takip/TA; Ugnayan takes Uhaw/OU and Yapos ng Dilim/YA); replace the era enum with Ugat/Ugnayan/Pamana. Acceptance: defeating Mantsa in Level 1 shows a discovery card with ability, corrupted meaning, true meaning and restored lesson; Almanac groups by the era of first teaching.","Story","High","audit data content demo-required","C - Level content","T05","",""
