Summary,Issue Type,Description,Acceptance Criteria,Component,Priority,Depends On,Source
Add a success burst effect on the drawing surface for accepted strokes,Task,Doc 06 lists the success feedback on the canvas as planned.,"- An accepted recognition plays a burst effect at the stroke's centroid
- The effect is pooled and lasts under 0.5 s",Drawing,Low,none,06-drawing-and-recognition.md · DRAW-12
Show an improvement tip on Results naming the weakest metric,Task,No tip generation exists.,"- The Results screen shows one tip line naming whichever of tracing accuracy, context accuracy or hearts ratio is lowest
- Tip strings live in LevelResultsCopy
- An EditMode test covers each of the three branches",Results,Low,none,11-results-rewards-and-progression.md · RES-07
Build the Mission Objective card shown after the Story phase,Task,SALIN-244 was closed with no implementation. Card content limited to data derivable from LevelConfigSO; story and combat goal copy is an open question.,"- A card lists the level's focus-word displayLabels, the finalRestorationValue syllable, and DefenseRules.shrineHearts
- The card holds the flow until its Continue is tapped
- LevelFlowController shows it between Story and FocusWords on every level with focus words",Level flow,Medium,none,04-level-flow.md · FLOW-10
Style the Ready screen with the pixel-art frame and buttons,Task,The Ready screen is flat programmer-art (playtest defect 3).,"- The Ready panel background, Start and Back use the same sprite and font assets as the Level Select buttons
- No default Unity button sprite remains on the Ready screen",Level flow,High,none,COVERAGE.md · FLOW-11
Make the Ready panel cover the full play column,Task,Gameplay background and HP hearts bleed through (playtest defect 4).,"- The Ready panel RectTransform stretches to the PlayAreaContainer bounds
- The HUD heart display is inactive while LevelReadyScreenController.IsPresenting is true",Level flow,High,none,COVERAGE.md · FLOW-11
List the level's enemy types and clue channels on the Ready screen,Task,The controller renders a title and objective line only.,"- The Ready screen lists the displayName of every entry in allowedEnemyTypes
- It lists the name of every ClueChannels flag set on the level
- It shows the heart count",Level flow,Medium,none,04-level-flow.md · FLOW-10
Register the 18 corruption enemy ids against the Corrupted shell in EnemyPool,Task,Every corruption id logs 'Unknown enemyID ... Falling back to default pool'.,"- Level 1 logs no Unknown enemyID warning
- EnemyPoolRegistrationTests asserts every EnemyData_*.asset enemyID resolves, including ragasa and hati-minion",Enemies,Medium,none,07-combat-and-defense.md · CMB-08
Produce four damage-state sprites for the Ugat shrine,Task,"GDD specifies full, crack 1, crack 2, destroyed; none exist.","- Four sprites are imported under Assets/Art for the Ugat shrine
- They are assigned on the shrine damage-state component",Art,Medium,Swap the shrine sprite by remaining hearts,07-combat-and-defense.md · CMB-25
Produce four damage-state sprites for the Ugnayan shrine,Task,GDD specifies four states per era shrine.,- Four sprites are imported under Assets/Art for the Ugnayan shrine and assigned on the shrine damage-state component,Art,Medium,Swap the shrine sprite by remaining hearts,07-combat-and-defense.md · CMB-25
Produce four damage-state sprites for the Pamana shrine,Task,GDD specifies four states per era shrine.,- Four sprites are imported under Assets/Art for the Pamana shrine and assigned on the shrine damage-state component,Art,Medium,Swap the shrine sprite by remaining hearts,07-combat-and-defense.md · CMB-25
Swap the shrine sprite by remaining hearts,Task,"No damage-state logic exists under Feedback, Base or Environment.","- A component on the shrine exposes four sprite slots and selects full at 3 hearts, crack 1 at 2, crack 2 at 1, destroyed at 0
- It updates on OnHeartsChanged
- An EditMode test covers the mapping",Base,Medium,none,07-combat-and-defense.md · CMB-25
Review and approve every placeholder player-facing string,Task,Placeholder and NOT PRODUCT-APPROVED markers remain in several UI classes.,"- No comment containing 'placeholder' or 'NOT PRODUCT-APPROVED' remains in LevelLockNoticePanel, ChallengeModeUI, PauseMenuUI, ResetJourneyFlow, WaveClearedCopy, LevelContentMissingPanel or LevelResultsCopy
- The approval is recorded in docs/review/approval-log.md",Copy,Medium,none,14-accessibility-and-settings.md · ACC-20
Record frame rate on a mid-range device during Level 1 Wave 5,Task,No on-device frame-rate measurement is recorded.,"- A report under progress/ states the device model and the minimum and average FPS over Wave 5
- Any frame below 30 FPS is listed with its timestamp",QA,Low,none,13-hud-audio-and-feedback.md · FX-11
Add UiEventLogger writing timestamped events to a local CSV,Task,Only RecognitionLogger exists; no UI event log.,"- Analytics/UiEventLogger.cs follows the RecognitionLogger pattern
- UiEventLogger.Log(eventName) appends 'timestamp,eventName' to persistentDataPath/ui-events.csv
- No network call is made",Analytics,Low,none,14-accessibility-and-settings.md · EVAL-02
"Emit new_journey_started, practice_started, combat_started, restoration_submitted and memory_claimed",Task,The five events named in the backlog; the full 25-event list is an open question.,- Playing Level 1 start to finish writes the five named events with timestamps to ui-events.csv,Analytics,Low,Add UiEventLogger writing timestamped events to a local CSV,14-accessibility-and-settings.md · EVAL-02
"Replace EnemyDataSO.Era values with Ugat, Ugnayan and Pamana",Task,"The enum is still Spanish/American/Japanese (ruling C4). This is not cosmetic: GeneralAura reads Era to decide who gets its speed buff, and all nineteen non-boss enemies sit at era 0 today, so every value written during the migration changes behaviour. `428da0ef` left Walang-Awa’s era alone for exactly this reason rather than make it the only outlier.","- EnemyDataSO declares enum Era { Ugat, Ugnayan, Pamana }
- GeneralAura, AlmanacController and EnemyDiscoveryCopyProvider compile against the new values
- EditMode suite passes",Corrupted enemy data model,Medium,none,08-enemies.md · ENM-32
Assign the ruled era on all 18 corruption EnemyData assets,Task,Every corruption asset is authored era 0 (ruling C2 pools).,"- Ugat: AbongSimula, Iligaw, Bakod, Mantsa, NawalangMukha, Takip
- Ugnayan: Uhaw, Kadena, Gapos, Salungat, Walang-Awa, YaposngDilim
- Pamana: Daan-Lihis, Ragasa, Hati, HatiMinion, Labo, Ngatngat, Punit
- An EditMode test asserts the mapping",Corrupted enemy data model,Medium,"Replace EnemyDataSO.Era values with Ugat, Ugnayan and Pamana",08-enemies.md · ENM-32
Remove the Era.Spanish reveal gate from AlmanacController,Task,Enemies of other eras render locked regardless of discovery.,"- AlmanacController.IsSpanishEra is deleted
- A discovered enemy of any era renders as a revealed cell
- The Discovered counter counts discovered enemies of every era",Corrupted enemy data model,Medium,"Replace EnemyDataSO.Era values with Ugat, Ugnayan and Pamana",05-baybayin-learning.md · CODEX-05
"Add corruptedMeaning, trueMeaning, lore and restoredLesson fields to EnemyDataSO",Task,"Only a single description string exists, split on 'Power:'.","- EnemyDataSO has four TextArea string fields with those names
- The existing description field is kept
- EditMode suite passes",Corrupted enemy data model,Medium,none,08-enemies.md · ENM-33
Author the four lore fields for the six Ugat enemies,Task,"Filipino narrative copy for Abo ng Simula, Iligaw, Bakod, Mantsa, Nawalang Mukha, Takip, framing each as a fragment of Paglimot.","- corruptedMeaning, trueMeaning, lore and restoredLesson are non-empty on the six Ugat EnemyData assets
- Copy is Filipino",Corrupted enemy data model,Medium,"Add corruptedMeaning, trueMeaning, lore and restoredLesson fields to EnemyDataSO",08-enemies.md · ENM-33
Author the four lore fields for the six Ugnayan enemies,Task,"Filipino narrative copy for Uhaw, Kadena, Gapos, Salungat, Walang-Awa, Yapos ng Dilim, framing each as a fragment of Paglimot.","- corruptedMeaning, trueMeaning, lore and restoredLesson are non-empty on the six Ugnayan EnemyData assets
- Copy is Filipino",Corrupted enemy data model,Medium,"Add corruptedMeaning, trueMeaning, lore and restoredLesson fields to EnemyDataSO",08-enemies.md · ENM-33
Author the four lore fields for the six Pamana enemies,Task,"Filipino narrative copy for Daan-Lihis, Ragasa, Hati, Labo, Ngatngat, Punit, framing each as a fragment of Paglimot.","- corruptedMeaning, trueMeaning, lore and restoredLesson are non-empty on the six Pamana EnemyData assets
- Copy is Filipino",Corrupted enemy data model,Medium,"Add corruptedMeaning, trueMeaning, lore and restoredLesson fields to EnemyDataSO",08-enemies.md · ENM-33
Render the four lore fields on the discovery card and Codex enemy detail,Task,Replaces the 'Power:' split of description.,"- The discovery card shows ability, corrupted meaning, true meaning and restored lesson in that order
- AlmanacDetailScroll shows the same four for an enemy entry
- EnemyDiscoveryCopyProvider no longer splits description on 'Power:'",Corrupted enemy data model,Medium,"Add corruptedMeaning, trueMeaning, lore and restoredLesson fields to EnemyDataSO",08-enemies.md · ENM-33
Remove Superintendent and Kadiliman from AlmanacEnemyRegistry_Default,Task,Two retired bosses still appear as Codex entries.,"- AlmanacEnemyRegistry_Default contains no EnemyData_Boss_* entry
- The Enemies tab renders exactly 18 cells",Corrupted enemy data model,Medium,none,08-enemies.md · ENM-34
Produce chain badge art for Kadena's chained target,Task,KadenaChainController has no chain badge art.,"- A chain badge sprite is imported under Assets/Art/UI and assigned on KadenaChainController
- In Play Mode the chained enemy shows the chain badge",Corrupted enemy data model,Medium,none,08-enemies.md · ENM-18
Show a blocked tell when a draw resolves against an enemy shielded by Bakod,Task,The resolution block exists but produces no readable tell.,"- A draw whose closest carrier is behind Bakod shows a DrawFeedbackVocabulary blocked string on the HUD in the same frame
- The shielded enemy's badge plays the reject shake
- An EditMode test covers the feedback signal",Corrupted enemy data model,High,none,08-enemies.md · ENM-13
Block the final syllable slot while Yapos ng Dilim is alive,Task,Yapos guards YA in MALAYA per ruling C2.,"- While a Yapos ng Dilim is active, a correct draw of the final syllable does not fill its slot and shows the blocked tell
- Defeating Yapos re-enables the slot
- An EditMode test covers both states",Corrupted enemy data model,Medium,Append a final-syllable GuidedTracing unit bound to finalRestorationValue to every restoration; Show a blocked tell when a draw resolves against an enemy shielded by Bakod,08-enemies.md · ENM-23
Wire the Ragasa replacement frames onto EnemyData_Ragasa,Task,Ragasa art is import-only.,"- EnemyData_Ragasa.walkFrames reference the imported Ragasa PNG frames
- Ragasa renders with the new art when spawned in Sandbox mode",Corrupted enemy data model,Medium,none,08-enemies.md · ENM-10
Wire the Hati minion frames onto EnemyData_HatiMinion,Task,Hati minion art is import-only.,"- EnemyData_HatiMinion.walkFrames reference the imported minion PNG frames
- Minions spawned by Hati render with the new art in Sandbox mode",Corrupted enemy data model,Medium,none,08-enemies.md · ENM-10
Produce level-number scroll sprites for Ugnayan Levels 1-5,Task,Levels 6-15 render blank scrolls on Level Select.,- Five sprites under Assets/Art/UI are assigned as numberSprite on Level6-10_Config,"Badge, level-number and memory art",Medium,none,02-journey-map-and-level-entry.md · MAP-04
Produce level-number scroll sprites for Pamana Levels 1-5,Task,Levels 6-15 render blank scrolls on Level Select.,- Five sprites under Assets/Art/UI are assigned as numberSprite on Level11-15_Config,"Badge, level-number and memory art",Medium,none,02-journey-map-and-level-entry.md · MAP-04
Add front and back art references to the memory card model,Task,MemoryCardUI self-builds and has no data slot for card art.,"- Each memory id maps to a front and back Sprite (new fields on MemoryArchiveModel or a MemoryCardArtSO)
- MemoryCardUI renders them when assigned and its runtime fallback when null","Badge, level-number and memory art",Medium,none,11-results-rewards-and-progression.md · MEM-06
Produce memory card art for Ugat Level 1,Task,"Memory card art is recorded as missing. Card for memory.ugat.01 (INA, AMA).","- Front and back sprites for memory.ugat.01 are imported and assigned in the memory card model
- Claiming the Level 1 memory shows the assigned art","Badge, level-number and memory art",Medium,Add front and back art references to the memory card model,11-results-rewards-and-progression.md · MEM-06; 15-levels-and-content-coverage.md · LVL-01
Produce memory card art for Ugat Level 2,Task,"Memory card art is recorded as missing. Card for memory.ugat.02 (BATA, MATA).","- Front and back sprites for memory.ugat.02 are imported and assigned in the memory card model
- Claiming the Level 2 memory shows the assigned art","Badge, level-number and memory art",Medium,Add front and back art references to the memory card model,11-results-rewards-and-progression.md · MEM-06; COVERAGE.md · LVL-02
Produce memory card art for Ugat Level 3,Task,"Memory card art is recorded as missing. Card for memory.ugat.03 (BATA, TAMA).","- Front and back sprites for memory.ugat.03 are imported and assigned in the memory card model
- Claiming the Level 3 memory shows the assigned art","Badge, level-number and memory art",Medium,Add front and back art references to the memory card model,11-results-rewards-and-progression.md · MEM-06; 15-levels-and-content-coverage.md · LVL-03
Produce memory card art for Ugat Level 4,Task,"Memory card art is recorded as missing. Card for memory.ugat.04 (INA, AMA).","- Front and back sprites for memory.ugat.04 are imported and assigned in the memory card model
- Claiming the Level 4 memory shows the assigned art","Badge, level-number and memory art",Medium,Add front and back art references to the memory card model,11-results-rewards-and-progression.md · MEM-06; 15-levels-and-content-coverage.md · LVL-03
Produce memory card art for Ugat Level 5,Task,"Memory card art is recorded as missing. Card for memory.ugat.05 (IBA, MANA).","- Front and back sprites for memory.ugat.05 are imported and assigned in the memory card model
- Claiming the Level 5 memory shows the assigned art","Badge, level-number and memory art",Medium,Add front and back art references to the memory card model,11-results-rewards-and-progression.md · MEM-06; 15-levels-and-content-coverage.md · LVL-05
