Summary,Issue Type,Epic Name,Parent,Description,Acceptance Criteria,Stage,Story ID,Priority,Labels,Source
"Start over on purpose, never by accident",Story,,Stage 2 — Starting or resuming a journey,"As a player, I want starting over to be hard to do by mistake, so that I cannot destroy my progress with a stray tap.","- Starting a new journey is available only inside Settings, behind a confirmation.
- The confirmation lists what will be erased and what will be kept.
- Cancelling changes nothing.",Starting or resuming a journey,US-009,Medium,player-journey stage-02,PLAYER-JOURNEY.md · US-009
Be told when my save needed fixing,Story,,Stage 2 — Starting or resuming a journey,"As a player, I want a clear notice if my save was recovered or migrated, so that a change in my progress never looks like a bug.","- A one-time notice explains that the save was recovered or migrated.
- The notice does not appear again on later launches.
- My audio settings survive the recovery.",Starting or resuming a journey,US-010,Medium,player-journey stage-02,PLAYER-JOURNEY.md · US-010
Stage 3 — The prologue,Epic,Stage 3 — The prologue,,"Stage 3 of the player journey (US-011–US-014, 4 stories). Ordered as the player meets it, not by build status.",- Every story in this stage is closed,The prologue,,Medium,player-journey stage-03,PLAYER-JOURNEY.md · Stage 3
See how the story begins,Story,,Stage 3 — The prologue,"As a new player, I want an opening cinematic, so that I understand who I am and what has been taken.","- A fresh journey plays the prologue before the first level.
- The prologue advances by tapping, one panel at a time.",The prologue,US-011,Medium,player-journey stage-03,PLAYER-JOURNEY.md · US-011
See who is speaking,Story,,Stage 3 — The prologue,"As a player, I want every line of dialogue attributed, so that I can follow a conversation.","- Each line shows the speaker's name.
- Each line shows the speaker's portrait, on a consistent side of the panel for that character.",The prologue,US-012,Medium,player-journey stage-03,PLAYER-JOURNEY.md · US-012
Not sit through a cutscene twice,Story,,Stage 3 — The prologue,"As a player, I want to skip a cutscene and never be shown the prologue again, so that a second launch takes me straight to the game.","- A visible Skip control ends the cutscene immediately.
- Once seen or skipped, the prologue does not play again.
- Starting a new journey brings it back.",The prologue,US-013,Medium,player-journey stage-03,PLAYER-JOURNEY.md · US-013
Read the story in Filipino,Story,,Stage 3 — The prologue,"As a Filipino player, I want the narrative in Filipino, so that the heritage framing is authentic rather than translated.","- All story dialogue, word explanations and cutscene text are in Filipino.
- Buttons and system messages are in English.",The prologue,US-014,Medium,player-journey stage-03,PLAYER-JOURNEY.md · US-014
Stage 4 — The era map,Epic,Stage 4 — The era map,,"Stage 4 of the player journey (US-015–US-021, 7 stories). Ordered as the player meets it, not by build status.",- Every story in this stage is closed,The era map,,Medium,player-journey stage-04,PLAYER-JOURNEY.md · Stage 4
See the levels of my era,Story,,Stage 4 — The era map,"As a player, I want to see the five levels of the era I am in, so that I can tell where I am and what is next.","- The map shows the five levels of the current era.
- No empty or placeholder level slots are shown.",The era map,US-015,Medium,player-journey stage-04,PLAYER-JOURNEY.md · US-015
Look ahead and look back,Story,,Stage 4 — The era map,"As a player, I want to page between the three eras, so that I can see where the journey goes.","- Previous and next controls move between eras.
- At the first and last era, the unavailable control is visibly disabled rather than hidden.",The era map,US-016,Medium,player-journey stage-04,PLAYER-JOURNEY.md · US-016
Tell the eras apart at a glance,Story,,Stage 4 — The era map,"As a player, I want each era to look different, so that the three eras feel like distinct places.",- Each era has its own background and banner art.,The era map,US-017,Medium,player-journey stage-04,PLAYER-JOURNEY.md · US-017
Know which level I am looking at,Story,,Stage 4 — The era map,"As a player, I want each level to show its name and number, so that I can pick the right one.","- Each level shows its number.
- Each level shows its authored title, e.g. ""Ang Unang Tinig"".
- A level is never labelled with a global number like ""Level 7"".",The era map,US-018,Medium,player-journey stage-04,PLAYER-JOURNEY.md · US-018
See which levels I have finished,Story,,Stage 4 — The era map,"As a player, I want finished levels marked, so that I can see my progress on the map.",- A completed level is visibly marked as complete.,The era map,US-019,Medium,player-journey stage-04,PLAYER-JOURNEY.md · US-019
See how well I did on each level,Story,,Stage 4 — The era map,"As a player, I want my best star rating on each finished level, so that I know which ones I could improve.","- Each completed level shows its best star count.
- Replaying a level never lowers the star count shown.",The era map,US-020,Medium,player-journey stage-04,PLAYER-JOURNEY.md · US-020
Know why a level is closed to me,Story,,Stage 4 — The era map,"As a player, I want a locked level to tell me what I still have to do, so that I know how to open it.","- A locked level is visibly locked and does not start when tapped.
- Tapping it names the specific thing I must finish first, in era terms, e.g. ""Finish Ugat Level 5"".",The era map,US-021,Medium,player-journey stage-04,PLAYER-JOURNEY.md · US-021
Stage 5 — Entering a level,Epic,Stage 5 — Entering a level,,"Stage 5 of the player journey (US-022–US-026, 5 stories). Ordered as the player meets it, not by build status.",- Every story in this stage is closed,Entering a level,,Medium,player-journey stage-05,PLAYER-JOURNEY.md · Stage 5
See and hear what a level is about before I enter,Story,,Stage 5 — Entering a level,"As a player, I want a preview of the level, so that I can prepare instead of being dropped in.","- The preview shows the level title, its target words, its new symbols and my best stars.
- Each target word can be tapped to hear it spoken.
- The level only starts when I choose to enter.",Entering a level,US-022,Medium,player-journey stage-05,PLAYER-JOURNEY.md · US-022
Read the story that frames this level,Story,,Stage 5 — Entering a level,"As a player, I want a story beat before and after each level, so that the fight has a reason and the restoration has a consequence.","- Each level opens with a story beat before any drawing is possible.
- Each level closes with a story beat after the memory is restored.
- Each target word carries its own explanation in the story's voice.",Entering a level,US-023,Medium,player-journey stage-05,PLAYER-JOURNEY.md · US-023
Read what the level asks of me,Story,,Stage 5 — Entering a level,"As a player, I want the level's goals stated plainly, so that I know what winning requires.","- A card states the words I must restore, the number of hearts I have, and the final symbol I must write.
- The card holds until I continue.",Entering a level,US-024,Medium,player-journey stage-05,PLAYER-JOURNEY.md · US-024
Get a moment before the fight starts,Story,,Stage 5 — Entering a level,"As a player, I want a beat between the lesson and the combat, so that the fight does not begin the instant I stop reading.","- A screen holds until I press Start.
- It offers a way back out that keeps what I have already done.",Entering a level,US-025,Medium,player-journey stage-05,PLAYER-JOURNEY.md · US-025
Know what I am about to face,Story,,Stage 5 — Entering a level,"As a player, I want to see the enemy types and clue styles in this level, so that I can brace for them.","- The pre-combat screen lists the enemy types the level will send.
- It lists the ways the level will cue me.",Entering a level,US-026,Medium,player-journey stage-05,PLAYER-JOURNEY.md · US-026
Stage 6 — Learning the words,Epic,Stage 6 — Learning the words,,"Stage 6 of the player journey (US-027–US-032, 6 stories). Ordered as the player meets it, not by build status.",- Every story in this stage is closed,Learning the words,,Medium,player-journey stage-06,PLAYER-JOURNEY.md · Stage 6
See the words I am fighting for,Story,,Stage 6 — Learning the words,"As a player, I want the level's two target words shown before combat, so that I know what I am restoring.","- Both target words are shown before any drawing is possible.
- Drawing input is disabled while the words are being presented.",Learning the words,US-027,Medium,player-journey stage-06,PLAYER-JOURNEY.md · US-027
Understand what a word means,Story,,Stage 6 — Learning the words,"As a player, I want each target word explained in plain language, so that restoring it means something.",- Each target word shows its meaning.,Learning the words,US-028,Medium,player-journey stage-06,PLAYER-JOURNEY.md · US-028
See a word broken into syllables,Story,,Stage 6 — Learning the words,"As a player, I want a word shown as its syllables, so that I understand a word is built from the symbols I am learning.","- Each target word is shown split into its syllables, in reading order.",Learning the words,US-029,Medium,player-journey stage-06,PLAYER-JOURNEY.md · US-029
See a word written in Baybayin,Story,,Stage 6 — Learning the words,"As a player, I want the word shown in Baybayin, so that I am reading the script rather than a transliteration.",- Each syllable of the word is shown as its Baybayin glyph.,Learning the words,US-030,Medium,player-journey stage-06,PLAYER-JOURNEY.md · US-030
Hear a word and its parts,Story,,Stage 6 — Learning the words,"As a player, I want to tap a word or any of its syllables and hear it, so that I learn how it sounds.","- Tapping a syllable plays that syllable.
- A control plays the whole word.",Learning the words,US-031,Medium,player-journey stage-06,PLAYER-JOURNEY.md · US-031
"See what a word means, as a picture",Story,,Stage 6 — Learning the words,"As a player, I want an image for each target word, so that the meaning is concrete rather than a definition.",- Each target word shows an image of its meaning.,Learning the words,US-032,Medium,player-journey stage-06,PLAYER-JOURNEY.md · US-032
Stage 7 — Learning the symbols,Epic,Stage 7 — Learning the symbols,,"Stage 7 of the player journey (US-033–US-037, 5 stories). Ordered as the player meets it, not by build status.",- Every story in this stage is closed,Learning the symbols,,Medium,player-journey stage-07,PLAYER-JOURNEY.md · Stage 7
See a new symbol clearly,Story,,Stage 7 — Learning the symbols,"As a player, I want each new symbol shown large and clean, so that I can learn its shape.","- Each newly taught symbol is presented on its own card.
- The glyph is legible on a phone screen.",Learning the symbols,US-033,Medium,player-journey stage-07,PLAYER-JOURNEY.md · US-033
Hear what a symbol sounds like,Story,,Stage 7 — Learning the symbols,"As a player, I want to hear a symbol's syllable and replay it, so that I connect the shape to a sound instead of memorising a picture.","- The syllable plays once when the card appears.
- A control replays it on demand.",Learning the symbols,US-034,Medium,player-journey stage-07,PLAYER-JOURNEY.md · US-034
Watch a symbol being written,Story,,Stage 7 — Learning the symbols,"As a player, I want to see the stroke order, so that I learn how to draw it and not just what it looks like.","- The glyph animates stroke by stroke.
- A control replays the animation.",Learning the symbols,US-035,Medium,player-journey stage-07,PLAYER-JOURNEY.md · US-035
Read a symbol the way this word uses it,Story,,Stage 7 — Learning the symbols,"As a player, I want symbols with two readings labelled for the current word, so that the label is never wrong for the context.",- A symbol with more than one reading is labelled with the reading this word uses.,Learning the symbols,US-036,Medium,player-journey stage-07,PLAYER-JOURNEY.md · US-036
Only be taught what is new,Story,,Stage 7 — Learning the symbols,"As a player, I want the lesson to cover only this level's new symbols, so that I am not shown cards for symbols I already know.","- Only symbols introduced by this level are presented as lessons.
- A level that introduces nothing shows no lesson cards.",Learning the symbols,US-037,Medium,player-journey stage-07,PLAYER-JOURNEY.md · US-037
Stage 8 — Drawing a symbol,Epic,Stage 8 — Drawing a symbol,,"Stage 8 of the player journey (US-038–US-046, 9 stories). Ordered as the player meets it, not by build status.",- Every story in this stage is closed,Drawing a symbol,,Medium,player-journey stage-08,PLAYER-JOURNEY.md · Stage 8
Draw anywhere on the screen,Story,,Stage 8 — Drawing a symbol,"As a player, I want the whole screen to be my drawing surface, so that I never have to aim at a small box.","- A stroke started anywhere in the play area is accepted.
- No bounded drawing pad is required.",Drawing a symbol,US-038,Medium,player-journey stage-08,PLAYER-JOURNEY.md · US-038
Have the interface stay out of my way,Story,,Stage 8 — Drawing a symbol,"As a player, I want the on-screen information kept clear of where I draw, so that the display never costs me a stroke.","- Every persistent on-screen element sits at the edge of the play area.
- No persistent element overlaps the region where symbols are drawn.",Drawing a symbol,US-039,Medium,player-journey stage-08,PLAYER-JOURNEY.md · US-039
See my line follow my finger,Story,,Stage 8 — Drawing a symbol,"As a player, I want the line to appear where I press and follow me smoothly, so that drawing feels responsive.","- The line begins at the point of first contact.
- Visual stroke points are subdivided to at most 8 screen px apart (RecognitionConfig_Default.visualSampleSpacingPixels), so no straight segment longer than 8 px is drawn between two real touch samples.",Drawing a symbol,US-040,Medium,player-journey stage-08,PLAYER-JOURNEY.md · US-040
Submit by lifting my finger,Story,,Stage 8 — Drawing a symbol,"As a player, I want lifting my finger to mean ""that is my answer"", so that there is no separate submit step during combat.",- Lifting the finger submits the stroke for recognition.,Drawing a symbol,US-041,Medium,player-journey stage-08,PLAYER-JOURNEY.md · US-041
Draw a symbol that needs more than one stroke,Story,,Stage 8 — Drawing a symbol,"As a player, I want multi-stroke symbols to work, so that I can write the script properly.","- A stroke begun within 0.6 s of the previous stroke ending joins the same symbol (RecognitionConfig_Default.multiStrokeWindowSeconds); after 0.6 s the drawing is submitted.
- The grouping window runs on unscaled time, so pausing neither extends nor consumes it.",Drawing a symbol,US-042,Medium,player-journey stage-08,PLAYER-JOURNEY.md · US-042
Not be punished for a stray touch,Story,,Stage 8 — Drawing a symbol,"As a player, I want an accidental tap ignored, so that brushing the screen does not cost me an attempt.",- A touch too short or too small to be a symbol is discarded without being judged.,Drawing a symbol,US-043,Medium,player-journey stage-08,PLAYER-JOURNEY.md · US-043
Have a reasonable attempt accepted,Story,,Stage 8 — Drawing a symbol,"As a player, I want a close-enough symbol to count, so that imperfect handwriting is not punished.","- A drawing scoring at or above 0.60 against the target template is accepted (RecognitionConfig_Default.minimumConfidence).
- Each era declares its own accept threshold, and the Ugat threshold is the most forgiving of the three.",Drawing a symbol,US-044,Medium,player-journey stage-08,PLAYER-JOURNEY.md · US-044
Know immediately when a drawing failed,Story,,Stage 8 — Drawing a symbol,"As a player, I want unmistakable feedback on a rejected stroke, so that I am never unsure what happened.","- A rejected stroke flashes in the rejection colour and the canvas clears within one frame of the decision.
- Enemies keep moving during the rejection.",Drawing a symbol,US-045,Medium,player-journey stage-08,PLAYER-JOURNEY.md · US-045
Know *why* a drawing failed,Story,,Stage 8 — Drawing a symbol,"As a player, I want the game to tell the difference between ""that is not a symbol"" and ""nothing here needs that symbol"", so that I correct the right mistake.",- An unrecognised stroke and a recognised-but-unneeded symbol produce different messages.,Drawing a symbol,US-046,Medium,player-journey stage-08,PLAYER-JOURNEY.md · US-046
Stage 9 — Defending the shrine,Epic,Stage 9 — Defending the shrine,,"Stage 9 of the player journey (US-047–US-056, 10 stories). Ordered as the player meets it, not by build status.",- Every story in this stage is closed,Defending the shrine,,Medium,player-journey stage-09,PLAYER-JOURNEY.md · Stage 9
Not be scored on my handwriting,Story,,Stage 9 — Defending the shrine,"As a player, I want no accuracy number shown while I play, so that the game stays a game rather than a test.","- No numeric score or percentage for a drawing appears during a level.
- An accuracy figure is shown only in practice mode.",Defending the shrine,US-047,Medium,player-journey stage-09,PLAYER-JOURNEY.md · US-047
Face enemies in waves,Story,,Stage 9 — Defending the shrine,"As a player, I want enemies to arrive in waves, so that the pressure has a rhythm rather than being constant.","- Enemies arrive in numbered waves.
- A wave ends when all of its enemies are gone.",Defending the shrine,US-048,Medium,player-journey stage-09,PLAYER-JOURNEY.md · US-048
Know how far through the fight I am,Story,,Stage 9 — Defending the shrine,"As a player, I want to see my wave progress, so that I can judge how much longer this lasts.","- The screen shows the current wave and the total, e.g. ""Wave 3 of 5"".",Defending the shrine,US-049,Medium,player-journey stage-09,PLAYER-JOURNEY.md · US-049
Only be asked for symbols I have been taught,Story,,Stage 9 — Defending the shrine,"As a player, I want every symbol demanded of me to be one I have learned, so that the game is never unfair.",- No enemy in a level carries a symbol the campaign has not yet taught me.,Defending the shrine,US-050,Medium,player-journey stage-09,PLAYER-JOURNEY.md · US-050
Be told which symbol to draw next,Story,,Stage 9 — Defending the shrine,"As a player, I want a clear cue for what to draw, so that I am never guessing what the game wants.","- Exactly one enemy carries the current cue at a time.
- The cue favours the enemy closest to the shrine.",Defending the shrine,US-051,Medium,player-journey stage-09,PLAYER-JOURNEY.md · US-051
Not have the cue move while I am drawing,Story,,Stage 9 — Defending the shrine,"As a player, I want the cue to hold still once my finger is down, so that a faster enemy cannot steal my answer mid-stroke.",- The cue does not change while a stroke is in progress.,Defending the shrine,US-052,Medium,player-journey stage-09,PLAYER-JOURNEY.md · US-052
Be cued in more than one way,Story,,Stage 9 — Defending the shrine,"As a player, I want the game to ask for symbols in different ways, so that the challenge comes from more than speed.","- Across the campaign, cues appear as the glyph, a spoken syllable, a transliteration, an image, and a word with a gap in it.
- Later levels use harder cue styles than earlier ones.",Defending the shrine,US-053,Medium,player-journey stage-09,PLAYER-JOURNEY.md · US-053
Hear a spoken cue again,Story,,Stage 9 — Defending the shrine,"As a player, I want to replay a spoken cue, so that missing it once does not cost me the enemy.",- A spoken cue offers a replay control.,Defending the shrine,US-054,Medium,player-journey stage-09,PLAYER-JOURNEY.md · US-054
Play with the sound off,Story,,Stage 9 — Defending the shrine,"As a player who cannot hear, or is playing muted, I want every spoken cue to have a readable form, so that the level is still playable.","- Every spoken cue is accompanied by a readable equivalent.
- No level can be cued by sound alone.",Defending the shrine,US-055,Medium,player-journey stage-09,PLAYER-JOURNEY.md · US-055
Have a correct answer always count,Story,,Stage 9 — Defending the shrine,"As a player, I want my correct symbol to resolve against whichever enemy carries it, so that a right answer never reads as a miss.","- A correct symbol defeats an eligible enemy carrying it, whether or not it was the marked one.
- A symbol no on-screen enemy carries produces a miss message, not a silent nothing.",Defending the shrine,US-056,Medium,player-journey stage-09,PLAYER-JOURNEY.md · US-056
Stage 10 — Juan and the shrine,Epic,Stage 10 — Juan and the shrine,,"Stage 10 of the player journey (US-057–US-062, 6 stories). Ordered as the player meets it, not by build status.",- Every story in this stage is closed,Juan and the shrine,,Medium,player-journey stage-10,PLAYER-JOURNEY.md · Stage 10
See who I am defending with,Story,,Stage 10 — Juan and the shrine,"As a player, I want a visible character on the field, so that the fight has a protagonist and not just a HUD.",- Juan is visible in the play area during the level.,Juan and the shrine,US-057,Medium,player-journey stage-10,PLAYER-JOURNEY.md · US-057
See my drawing become an attack,Story,,Stage 10 — Juan and the shrine,"As a player, I want Juan to strike when I draw correctly, so that the link between writing and fighting is visible.",- A correct drawing triggers Juan's attack toward the enemy it resolves against.,Juan and the shrine,US-058,Medium,player-journey stage-10,PLAYER-JOURNEY.md · US-058
Clear a crowd with one symbol,Story,,Stage 10 — Juan and the shrine,"As a player, I want one correct symbol to defeat several enemies carrying it, so that spotting a pattern is rewarded.","- When enough on-screen enemies carry the same symbol, one correct drawing defeats all of them.
- Levels that teach one-to-one drawing do not chain.",Juan and the shrine,US-059,Medium,player-journey stage-10,PLAYER-JOURNEY.md · US-059
Defend something that can be hurt,Story,,Stage 10 — Juan and the shrine,"As a player, I want a shrine that visibly suffers, so that losing has a place and a meaning.","- An enemy reaching the shrine damages it.
- The shrine's appearance reflects how much damage it has taken.",Juan and the shrine,US-060,Medium,player-journey stage-10,PLAYER-JOURNEY.md · US-060
Have three hearts,Story,,Stage 10 — Juan and the shrine,"As a player, I want a small, real margin for error, so that the pressure is genuine.","- The level starts with three hearts.
- Each enemy that reaches the shrine costs one heart.
- There are no extra lives or health pickups.",Juan and the shrine,US-061,Medium,player-journey stage-10,PLAYER-JOURNEY.md · US-061
See what got past me,Story,,Stage 10 — Juan and the shrine,"As a player, I want a beat when an enemy breaks through, so that I learn from it instead of just watching a heart vanish.","- A breach briefly pauses the field.
- The symbol that got through is shown.
- That symbol is asked of me again later in the same wave.",Juan and the shrine,US-062,Medium,player-journey stage-10,PLAYER-JOURNEY.md · US-062
Stage 11 — Meeting the corrupted enemies,Epic,Stage 11 — Meeting the corrupted enemies,,"Stage 11 of the player journey (US-063–US-066, 4 stories). Ordered as the player meets it, not by build status.",- Every story in this stage is closed,Meeting the corrupted enemies,,Medium,player-journey stage-11,PLAYER-JOURNEY.md · Stage 11
Read what an enemy carries,Story,,Stage 11 — Meeting the corrupted enemies,"As a player, I want the required symbol visible on each enemy, so that I know what to draw.","- Every enemy displays its symbol above it.
- The display reacts when I hit it, when it changes, and when I draw a decoy's symbol.",Meeting the corrupted enemies,US-063,Medium,player-journey stage-11,PLAYER-JOURNEY.md · US-063
Hear the symbol when an enemy falls,Story,,Stage 11 — Meeting the corrupted enemies,"As a player, I want the syllable spoken at the moment of the kill, so that the reward and the sound arrive together.",- Defeating an enemy plays its symbol's syllable.,Meeting the corrupted enemies,US-064,Medium,player-journey stage-11,PLAYER-JOURNEY.md · US-064
Be introduced to an enemy the first time I see it,Story,,Stage 11 — Meeting the corrupted enemies,"As a player, I want to be told what an enemy is when it first appears, so that I am never fighting a stranger.","- An enemy's first appearance halts the field and names it and its ability.
- Drawing is disabled while the introduction is open.
- Each enemy is introduced only once.",Meeting the corrupted enemies,US-065,Medium,player-journey stage-11,PLAYER-JOURNEY.md · US-065
See an ability happen before it is explained,Story,,Stage 11 — Meeting the corrupted enemies,"As a player, I want to watch an enemy's ability fire and then be told what it was, so that the explanation has something to point at.","- The first enemy of the campaign shows its ability, lets me react, then names and explains it.
- Completing the drawing undoes what the ability did.",Meeting the corrupted enemies,US-066,Medium,player-journey stage-11,PLAYER-JOURNEY.md · US-066
Stage 12 — Signature abilities,Epic,Stage 12 — Signature abilities,,"Stage 12 of the player journey (US-067–US-084, 18 stories). Ordered as the player meets it, not by build status.",- Every story in this stage is closed,Signature abilities,,Medium,player-journey stage-12,PLAYER-JOURNEY.md · Stage 12
Abo ng Simula buries what I restored first,Story,,Stage 12 — Signature abilities,"As a player, I want Abo's ash to take the first thing I restored, so that I feel what it means for a beginning to be erased.","- While Abo lives, ash covers the first restored slot.
- Defeating Abo uncovers it.",Signature abilities,US-067,Medium,player-journey stage-12,PLAYER-JOURNEY.md · US-067
Iligaw shows me a false copy of itself,Story,,Stage 12 — Signature abilities,"As a player, I want Iligaw's decoys to make me look twice, so that I cannot draw on autopilot.","- Iligaw spawns a copy carrying a readable symbol.
- Drawing that symbol resolves against whichever of them is closest to the shrine.",Signature abilities,US-068,Medium,player-journey stage-12,PLAYER-JOURNEY.md · US-068
Bakod shields the enemies behind it,Story,,Stage 12 — Signature abilities,"As a player, I want Bakod's wall to force me to deal with it first, so that the order I attack in matters.","- While Bakod lives, the enemies it shields cannot be defeated.
- An attempt on a shielded enemy shows a clear ""blocked"" response, not a silent miss.",Signature abilities,US-069,Medium,player-journey stage-12,PLAYER-JOURNEY.md · US-069
Mantsa corrupts the symbols around it,Story,,Stage 12 — Signature abilities,"As a player, I want Mantsa to make nearby symbols unreliable, so that killing it becomes urgent.","- While Mantsa lives, nearby enemies display false symbols.
- Defeating Mantsa restores the true symbols.",Signature abilities,US-070,Medium,player-journey stage-12,PLAYER-JOURNEY.md · US-070
Nawalang Mukha takes the names away,Story,,Stage 12 — Signature abilities,"As a player, I want Nawalang Mukha to remove the written labels, so that I must read the Baybayin itself.","- While it lives, the romanised labels on enemies are gone.
- Defeating it brings them back.",Signature abilities,US-071,Medium,player-journey stage-12,PLAYER-JOURNEY.md · US-071
Takip hides its own symbol,Story,,Stage 12 — Signature abilities,"As a player, I want Takip to show its symbol and then hide it, so that I have to remember rather than read.","- Takip reveals its symbol briefly, then covers it.",Signature abilities,US-072,Medium,player-journey stage-12,PLAYER-JOURNEY.md · US-072
Salungat punishes me for not thinking,Story,,Stage 12 — Signature abilities,"As a player, I want Salungat to be a trap I learn to ignore, so that drawing without reading has a cost.","- Drawing Salungat's symbol costs a heart instead of defeating it.
- Salungat is visibly distinguishable from a real target.",Signature abilities,US-073,Medium,player-journey stage-12,PLAYER-JOURNEY.md · US-073
Kadena protects a neighbour,Story,,Stage 12 — Signature abilities,"As a player, I want Kadena to make another enemy untouchable, so that I have to break the chain first.","- Kadena chains a nearby enemy, which cannot be defeated while chained.
- Defeating Kadena frees it.",Signature abilities,US-074,Medium,player-journey stage-12,PLAYER-JOURNEY.md · US-074
Hati splits when I defeat it,Story,,Stage 12 — Signature abilities,"As a player, I want defeating Hati to create two new problems, so that the kill is not the end of it.",- Defeating Hati spawns smaller enemies carrying the same symbol.,Signature abilities,US-075,Medium,player-journey stage-12,PLAYER-JOURNEY.md · US-075
Labo fades in and out,Story,,Stage 12 — Signature abilities,"As a player, I want Labo's symbol to disappear and return, so that I have to memorise it.",- Labo's symbol becomes invisible and visible again on a repeating cycle.,Signature abilities,US-076,Medium,player-journey stage-12,PLAYER-JOURNEY.md · US-076
Daan-Lihis is hard to follow,Story,,Stage 12 — Signature abilities,"As a player, I want Daan-Lihis to weave as it comes, so that tracking it takes real attention.",- Daan-Lihis moves side to side as it advances.,Signature abilities,US-077,Medium,player-journey stage-12,PLAYER-JOURNEY.md · US-077
Walang-Awa gives no mercy,Story,,Stage 12 — Signature abilities,"As a player, I want Walang-Awa to make heart loss unavoidable while it lives, so that its name means something in play.","- While Walang-Awa lives, heart loss cannot be prevented.
- The effect is visible to me.",Signature abilities,US-078,Medium,player-journey stage-12,PLAYER-JOURNEY.md · US-078
Yapos ng Dilim guards the last symbol,Story,,Stage 12 — Signature abilities,"As a player, I want the final symbol held hostage, so that the end of the campaign has a gatekeeper.","- While Yapos ng Dilim lives, the final symbol cannot be placed.
- Defeating it releases the slot.",Signature abilities,US-079,Medium,player-journey stage-12,PLAYER-JOURNEY.md · US-079
Ragasa rushes the shrine,Story,,Stage 12 — Signature abilities,"As a player, I want the RA enemy to be its own distinct threat, so that RA is a real character and not a footnote.","- Ragasa appears in the levels that teach RA.
- Drawing RA defeats it; drawing DA does not.",Signature abilities,US-080,Medium,player-journey stage-12,PLAYER-JOURNEY.md · US-080
Gapos makes drawing harder while it lives,Story,,Stage 12 — Signature abilities,"As a player, I want Gapos's ropes to interfere with my drawing, so that it changes how I play rather than how long I play.","- While Gapos is alive, the drawing surface is constrained in a way the player can see.
- Defeating Gapos restores normal drawing immediately.",Signature abilities,US-081,Medium,player-journey stage-12,PLAYER-JOURNEY.md · US-081
Punit damages the text I have restored,Story,,Stage 12 — Signature abilities,"As a player, I want Punit to tear at what I have already earned, so that restored text is worth defending.","- Punit reaching the shrine removes a restored slot from the target text.
- The removed slot is re-earnable in the same encounter.",Signature abilities,US-082,Medium,player-journey stage-12,PLAYER-JOURNEY.md · US-082
